subset,mode,variable,loading,abs_loading,explained_variance_ratio
baseline_fragile_local,PC1,logdet_target_mean,-0.2237122494880951,0.2237122494880951,0.750637962193938
baseline_fragile_local,PC1,determinant_g_mean,-0.2041474943789926,0.2041474943789926,0.750637962193938
baseline_fragile_local,PC2,determinant_g_mean,0.5224193243493077,0.5224193243493077,0.15289906042958346
baseline_fragile_local,PC2,min_eigenvalue_mean,0.4630719995884742,0.4630719995884742,0.15289906042958346
baseline_fragile_local,PC2,logdet_target_mean,0.41934386785739414,0.41934386785739414,0.15289906042958346
baseline_fragile_local,PC2,logdet_residual_q95,0.2769591747836321,0.2769591747836321,0.15289906042958346
baseline_fragile_local,PC2,logdet_residual_q90,0.27182482967044275,0.27182482967044275,0.15289906042958346
baseline_fragile_local,PC2,spectral_tail_mean,-0.26172003066879956,0.26172003066879956,0.15289906042958346
baseline_fragile_local,PC2,min_eigenvalue_q05,-0.20685738416867386,0.20685738416867386,0.15289906042958346
baseline_fragile_local,PC2,negative_frequency,0.14870747789981598,0.14870747789981598,0.15289906042958346
baseline_fragile_local,PC2,logdet_residual_mean,-0.13019125189259723,0.13019125189259723,0.15289906042958346
baseline_fragile_local,PC2,euler_density_proxy_mean,0.10435523121635826,0.10435523121635826,0.15289906042958346
baseline_fragile_local,PC2,logdet_g_mean,0.10435523121635826,0.10435523121635826,0.15289906042958346
baseline_fragile_local,PC2,min_eigenvalue_q10,-0.09773021252604612,0.09773021252604612,0.15289906042958346
baseline_fragile_local,PC2,euler_density_proxy_weighted_mean,0.06719910576678606,0.06719910576678606,0.15289906042958346
baseline_fragile_local,PC3,logdet_residual_mean,-0.48210664277556925,0.48210664277556925,0.054936606008859315
baseline_fragile_local,PC3,logdet_residual_q95,-0.43601932138781085,0.43601932138781085,0.054936606008859315
baseline_fragile_local,PC3,logdet_residual_q90,-0.40440975089173714,0.40440975089173714,0.054936606008859315
baseline_fragile_local,PC3,negative_frequency,0.3147886389447574,0.3147886389447574,0.054936606008859315
baseline_fragile_local,PC3,logdet_target_mean,0.3074245658143645,0.3074245658143645,0.054936606008859315
baseline_fragile_local,PC3,euler_density_proxy_weighted_mean,-0.23651810313838645,0.23651810313838645,0.054936606008859315
baseline_fragile_local,PC3,logdet_g_mean,-0.20160331466279957,0.20160331466279957,0.054936606008859315
baseline_fragile_local,PC3,euler_density_proxy_mean,-0.20160331466279954,0.20160331466279954,0.054936606008859315
baseline_fragile_local,PC3,determinant_g_mean,0.18930810009429413,0.18930810009429413,0.054936606008859315
baseline_fragile_local,PC3,min_eigenvalue_q05,0.16543212685980796,0.16543212685980796,0.054936606008859315
baseline_fragile_local,PC3,min_eigenvalue_q10,0.13888258659052846,0.13888258659052846,0.054936606008859315
baseline_fragile_local,PC3,spectral_tail_mean,0.02194177493858422,0.02194177493858422,0.054936606008859315
baseline_fragile_local,PC3,min_eigenvalue_mean,0.010371745011558006,0.010371745011558006,0.054936606008859315
baseline_fragile_only,PC1,euler_density_proxy_mean,-0.3425577580115878,0.3425577580115878,0.6304572147081621
baseline_fragile_only,PC1,logdet_g_mean,-0.3425577580115878,0.3425577580115878,0.6304572147081621
baseline_fragile_only,PC1,euler_density_proxy_weighted_mean,-0.3351049736311717,0.3351049736311717,0.6304572147081621
baseline_fragile_only,PC1,min_eigenvalue_q10,-0.32206577295634875,0.32206577295634875,0.6304572147081621
baseline_fragile_only,PC1,logdet_residual_mean,-0.32012429326141506,0.32012429326141506,0.6304572147081621
baseline_fragile_only,PC1,spectral_tail_mean,-0.3108965944542257,0.3108965944542257,0.6304572147081621
baseline_fragile_only,PC1,negative_frequency,0.31019691696247975,0.31019691696247975,0.6304572147081621
baseline_fragile_only,PC1,min_eigenvalue_q05,-0.3101739769459601,0.3101739769459601,0.6304572147081621
baseline_fragile_only,PC1,min_eigenvalue_mean,-0.2690068515317101,0.2690068515317101,0.6304572147081621
baseline_fragile_only,PC1,determinant_g_mean,-0.24163991442033347,0.24163991442033347,0.6304572147081621
baseline_fragile_only,PC1,logdet_target_mean,-0.10689686965642502,0.10689686965642502,0.6304572147081621
baseline_fragile_only,PC1,logdet_residual_q90,-0.09252677562754635,0.09252677562754635,0.6304572147081621
baseline_fragile_only,PC1,logdet_residual_q95,-0.08353263542192019,0.08353263542192019,0.6304572147081621
baseline_fragile_only,PC2,logdet_residual_q90,0.5486310242196212,0.5486310242196212,0.16631740374482037
baseline_fragile_only,PC2,logdet_target_mean,-0.5391426020629515,0.5391426020629515,0.16631740374482037
baseline_fragile_only,PC2,logdet_residual_q95,0.5325657495046128,0.5325657495046128,0.16631740374482037
baseline_fragile_only,PC2,logdet_residual_mean,0.1969583009581791,0.1969583009581791,0.16631740374482037
baseline_fragile_only,PC2,determinant_g_mean,-0.19182596971758836,0.19182596971758836,0.16631740374482037
baseline_fragile_only,PC2,min_eigenvalue_mean,-0.11705617702569104,0.11705617702569104,0.16631740374482037
