variable_i,variable_j,correlation,subset
logdet_residual_mean,logdet_residual_q95,0.3200573107594119,baseline_fragile_only
logdet_residual_q90,logdet_residual_q95,0.9485180352865951,baseline_fragile_only
logdet_residual_q95,logdet_residual_q95,1.0,baseline_fragile_only
euler_density_proxy_mean,logdet_residual_q95,0.16167447801864793,baseline_fragile_only
euler_density_proxy_weighted_mean,logdet_residual_q95,0.20557676521401833,baseline_fragile_only
determinant_g_mean,logdet_residual_q95,0.26751513966155177,baseline_fragile_only
logdet_g_mean,logdet_residual_q95,0.16167447801864793,baseline_fragile_only
logdet_target_mean,logdet_residual_q95,-0.2571591072353295,baseline_fragile_only
negative_frequency,euler_density_proxy_mean,-0.892502968121332,baseline_fragile_only
min_eigenvalue_mean,euler_density_proxy_mean,0.7718672723337063,baseline_fragile_only
min_eigenvalue_q10,euler_density_proxy_mean,0.8734880136950222,baseline_fragile_only
min_eigenvalue_q05,euler_density_proxy_mean,0.8117603591949196,baseline_fragile_only
spectral_tail_mean,euler_density_proxy_mean,0.8191922768950209,baseline_fragile_only
logdet_residual_mean,euler_density_proxy_mean,0.8686566286417511,baseline_fragile_only
logdet_residual_q90,euler_density_proxy_mean,0.16390893613174193,baseline_fragile_only
logdet_residual_q95,euler_density_proxy_mean,0.16167447801864795,baseline_fragile_only
euler_density_proxy_mean,euler_density_proxy_mean,1.0,baseline_fragile_only
euler_density_proxy_weighted_mean,euler_density_proxy_mean,0.9693442907350414,baseline_fragile_only
determinant_g_mean,euler_density_proxy_mean,0.713594906952306,baseline_fragile_only
logdet_g_mean,euler_density_proxy_mean,1.0,baseline_fragile_only
logdet_target_mean,euler_density_proxy_mean,0.4319442162395463,baseline_fragile_only
negative_frequency,euler_density_proxy_weighted_mean,-0.9106818540497139,baseline_fragile_only
min_eigenvalue_mean,euler_density_proxy_weighted_mean,0.6747056376463778,baseline_fragile_only
min_eigenvalue_q10,euler_density_proxy_weighted_mean,0.8242857535270387,baseline_fragile_only
min_eigenvalue_q05,euler_density_proxy_weighted_mean,0.8231466141523394,baseline_fragile_only
spectral_tail_mean,euler_density_proxy_weighted_mean,0.8210063482318817,baseline_fragile_only
logdet_residual_mean,euler_density_proxy_weighted_mean,0.8988922793162433,baseline_fragile_only
logdet_residual_q90,euler_density_proxy_weighted_mean,0.1858829438387057,baseline_fragile_only
logdet_residual_q95,euler_density_proxy_weighted_mean,0.20557676521401833,baseline_fragile_only
euler_density_proxy_mean,euler_density_proxy_weighted_mean,0.9693442907350414,baseline_fragile_only
euler_density_proxy_weighted_mean,euler_density_proxy_weighted_mean,0.9999999999999998,baseline_fragile_only
determinant_g_mean,euler_density_proxy_weighted_mean,0.626680708672246,baseline_fragile_only
logdet_g_mean,euler_density_proxy_weighted_mean,0.9693442907350414,baseline_fragile_only
logdet_target_mean,euler_density_proxy_weighted_mean,0.31518028530120346,baseline_fragile_only
negative_frequency,determinant_g_mean,-0.3416980962588469,baseline_fragile_only
min_eigenvalue_mean,determinant_g_mean,0.9648515309816047,baseline_fragile_only
min_eigenvalue_q10,determinant_g_mean,0.5898848288954427,baseline_fragile_only
min_eigenvalue_q05,determinant_g_mean,0.39602050062959265,baseline_fragile_only
spectral_tail_mean,determinant_g_mean,0.35479352629884214,baseline_fragile_only
logdet_residual_mean,determinant_g_mean,0.391310618393229,baseline_fragile_only
logdet_residual_q90,determinant_g_mean,0.28337677167306713,baseline_fragile_only
logdet_residual_q95,determinant_g_mean,0.26751513966155177,baseline_fragile_only
euler_density_proxy_mean,determinant_g_mean,0.713594906952306,baseline_fragile_only
euler_density_proxy_weighted_mean,determinant_g_mean,0.626680708672246,baseline_fragile_only
determinant_g_mean,determinant_g_mean,1.0,baseline_fragile_only
logdet_g_mean,determinant_g_mean,0.713594906952306,baseline_fragile_only
logdet_target_mean,determinant_g_mean,0.724322643899077,baseline_fragile_only
negative_frequency,logdet_g_mean,-0.892502968121332,baseline_fragile_only
min_eigenvalue_mean,logdet_g_mean,0.7718672723337063,baseline_fragile_only
min_eigenvalue_q10,logdet_g_mean,0.8734880136950222,baseline_fragile_only
min_eigenvalue_q05,logdet_g_mean,0.8117603591949196,baseline_fragile_only
spectral_tail_mean,logdet_g_mean,0.8191922768950209,baseline_fragile_only
logdet_residual_mean,logdet_g_mean,0.8686566286417511,baseline_fragile_only
logdet_residual_q90,logdet_g_mean,0.16390893613174193,baseline_fragile_only
logdet_residual_q95,logdet_g_mean,0.16167447801864795,baseline_fragile_only
euler_density_proxy_mean,logdet_g_mean,1.0,baseline_fragile_only
euler_density_proxy_weighted_mean,logdet_g_mean,0.9693442907350414,baseline_fragile_only
determinant_g_mean,logdet_g_mean,0.713594906952306,baseline_fragile_only
logdet_g_mean,logdet_g_mean,1.0,baseline_fragile_only
logdet_target_mean,logdet_g_mean,0.4319442162395463,baseline_fragile_only
negative_frequency,logdet_target_mean,-0.120643349827988,baseline_fragile_only
min_eigenvalue_mean,logdet_target_mean,0.6097044271304435,baseline_fragile_only
min_eigenvalue_q10,logdet_target_mean,0.22444226992514527,baseline_fragile_only
min_eigenvalue_q05,logdet_target_mean,0.0011846659845352262,baseline_fragile_only
spectral_tail_mean,logdet_target_mean,-0.027215005796710854,baseline_fragile_only
logdet_residual_mean,logdet_target_mean,-0.0716034139378401,baseline_fragile_only
logdet_residual_q90,logdet_target_mean,-0.30886009066235376,baseline_fragile_only
logdet_residual_q95,logdet_target_mean,-0.2571591072353295,baseline_fragile_only
euler_density_proxy_mean,logdet_target_mean,0.4319442162395463,baseline_fragile_only
euler_density_proxy_weighted_mean,logdet_target_mean,0.31518028530120346,baseline_fragile_only
determinant_g_mean,logdet_target_mean,0.7243226438990771,baseline_fragile_only
logdet_g_mean,logdet_target_mean,0.4319442162395463,baseline_fragile_only
logdet_target_mean,logdet_target_mean,1.0,baseline_fragile_only
negative_frequency,negative_frequency,1.0,baseline_regular_only
min_eigenvalue_mean,negative_frequency,-0.8167502438568081,baseline_regular_only
min_eigenvalue_q10,negative_frequency,-0.874135296017671,baseline_regular_only
min_eigenvalue_q05,negative_frequency,-0.8779112329639991,baseline_regular_only
spectral_tail_mean,negative_frequency,-0.9034624404396925,baseline_regular_only
logdet_residual_mean,negative_frequency,-0.9817502243219467,baseline_regular_only
logdet_residual_q90,negative_frequency,-0.7764346570943136,baseline_regular_only
logdet_residual_q95,negative_frequency,-0.6583017271331969,baseline_regular_only
euler_density_proxy_mean,negative_frequency,-0.9676852302291599,baseline_regular_only
euler_density_proxy_weighted_mean,negative_frequency,-0.9757355334763308,baseline_regular_only
determinant_g_mean,negative_frequency,-0.7502422519148557,baseline_regular_only
logdet_g_mean,negative_frequency,-0.9676852302291599,baseline_regular_only
logdet_target_mean,negative_frequency,-0.022467678937199146,baseline_regular_only
negative_frequency,min_eigenvalue_mean,-0.8167502438568081,baseline_regular_only
min_eigenvalue_mean,min_eigenvalue_mean,1.0,baseline_regular_only
min_eigenvalue_q10,min_eigenvalue_mean,0.9251649360613563,baseline_regular_only
min_eigenvalue_q05,min_eigenvalue_mean,0.9049273338662598,baseline_regular_only
spectral_tail_mean,min_eigenvalue_mean,0.8930572684028185,baseline_regular_only
logdet_residual_mean,min_eigenvalue_mean,0.8715774515869956,baseline_regular_only
logdet_residual_q90,min_eigenvalue_mean,0.7074486619483882,baseline_regular_only
logdet_residual_q95,min_eigenvalue_mean,0.5657506796142365,baseline_regular_only
euler_density_proxy_mean,min_eigenvalue_mean,0.9330706061418441,baseline_regular_only
euler_density_proxy_weighted_mean,min_eigenvalue_mean,0.9053988806554589,baseline_regular_only
